year,month,temperature_celsius,humidity,precip_mm,wind_kph
2024,5,25.153214069132808,59.80503335354761,0.16040327471194663,14.322680412371133
2024,6,26.456035818839332,58.7880144653005,0.15684863096263132,14.694196659204408
2024,7,26.800447948396343,59.40619960580541,0.163338111449561,13.979537717254972
2024,8,26.789677419354838,59.690984284532675,0.16675599669148056,13.91564929693962
2024,9,25.12440232240437,63.31813524590164,0.16712090163934426,13.23598019125683
2024,10,22.335382059800665,66.67890365448505,0.1257591362126246,12.237375415282392
2024,11,19.424565927454015,67.93037648272305,0.1357555440948943,12.148272305312016
2024,12,17.751894127377998,65.7808105872622,0.11105045492142265,13.06569065343259
2025,1,17.392723942723944,67.12903762903763,0.12536796536796538,13.004828504828504
2025,2,17.42468389224849,66.10408649441085,0.11010995052226498,13.333773135422392
2025,3,20.095298791590796,64.14434696242344,0.13108425757324946,13.267720576063565
2025,4,21.96505982905983,63.02735042735043,0.1295128205128205,13.304376068376069
2025,5,23.30779824124772,63.686908909905426,0.1472390907582545,13.325070516011282
2025,6,24.95810810810811,62.981696886760176,0.12288060212110845,13.767310981867944
2025,7,25.298030453492224,65.01142005958292,0.17079278384640847,13.44882489241973
2025,8,24.706055592322965,66.19523494374586,0.14047650562541364,12.650479814692257
2025,9,23.37191722250727,69.12433726697452,0.1388113562510689,12.325397639815291
2025,10,20.8722700198544,71.04119788219722,0.13123097286565188,11.935158835208473
2025,11,19.89919413919414,71.64175824175824,0.12385347985347986,11.642197802197803
